Datetime,question,answer
2023-09-29 02:33:51,who are you,dad
2023-09-29 02:35:36,кто ты,бот
2023-09-29 02:35:43,кто я,дима
2023-09-29 02:43:09,кто,кто?
2023-09-29 02:43:27,что,что?
2023-09-29 02:43:53,тко ты,а???
2023-09-29 02:48:38,что происходит,не знаю
2023-09-29 14:40:00,а ?,что ?
2023-09-29 14:45:13,сколько мне полагается отпускных дней?,28 дней на пляжу
2023-09-29 15:02:51,Что такое Смартократия?,Смартократия - Интегральная Политика Группы Компаний Smart Consulting (далее - ГК)
2023-09-29 17:02:55,k,kkk
2023-09-29 17:22:30,отпуск,бр бр брр
2023-09-29 19:02:04,какой вопрос ?,кто ты
2023-09-29 19:03:30,что делать ?,какой вопрос ?
2023-09-29 19:38:23,ывафыва,фывафыв
2023-09-29 19:38:31,фывафыв,фывафыва
2023-09-29 19:38:37,фыва,фыва
2023-09-30 05:47:38,fg,fgh
2023-09-30 05:47:42,dfgh,dgh
2023-09-30 06:16:34,ывапыв,олдол
2023-09-30 06:29:59,Пример работы программмы,нетк
